"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.028485857E0,-1.189500093E-1,2.250000089E-1,9.928950310E0,9.932211655E0
1.033488319E0,-1.069500074E-1,2.250000089E-1,9.922050476E0,9.925177528E0
1.038490501E0,-1.099500060E-1,2.290500104E-1,9.946050644E0,9.949295268E0
1.043492963E0,-1.099500060E-1,2.340000123E-1,9.910050392E0,9.913422405E0
1.048495501E0,-1.140000075E-1,2.100000083E-1,9.927000046E0,9.929875423E0
1.053497987E0,-1.099500060E-1,2.080500126E-1,9.927000046E0,9.929788705E0
1.058500679E0,-1.240500063E-1,2.440500110E-1,9.924000740E0,9.927776161E0
1.063503505E0,-1.000500023E-1,2.320500165E-1,9.934050560E0,9.937264097E0
1.068506275E0,-1.069500074E-1,2.170500159E-1,9.907950401E0,9.910904609E0
1.073509265E0,-8.805000782E-2,2.290500104E-1,9.910050392E0,9.913088090E0
1.078511803E0,-1.000500023E-1,2.320500165E-1,9.919950485E0,9.923168589E0
1.083514480E0,-1.069500074E-1,2.220000178E-1,9.924000740E0,9.927059635E0
1.088517865E0,-1.020000055E-1,2.460000068E-1,9.928950310E0,9.932521042E0
1.093520615E0,-9.300000221E-2,2.200500071E-1,9.903000832E0,9.905881913E0
1.098523769E0,-1.050000042E-1,2.269500047E-1,9.940950394E0,9.944095033E0
1.103526769E0,-1.099500060E-1,2.170500159E-1,9.915000916E0,9.917985827E0
1.108529846E0,-1.189500093E-1,2.370000184E-1,9.940950394E0,9.944486555E0
1.113532610E0,-1.069500074E-1,2.269500047E-1,9.936000824E0,9.939167821E0
1.118535457E0,-1.069500074E-1,2.170500159E-1,9.927000046E0,9.929948586E0
1.123538164E0,-1.120500043E-1,2.290500104E-1,9.924000740E0,9.927276051E0
1.128540395E0,-1.099500060E-1,2.290500104E-1,9.928950310E0,9.932200520E0
1.133543086E0,-1.339500099E-1,2.370000184E-1,9.948000908E0,9.951725161E0
1.138545548E0,-9.495000541E-2,2.269500047E-1,9.946050644E0,9.949092683E0
1.143548086E0,-8.595000207E-2,2.320500165E-1,9.904950142E0,9.908040771E0
1.148551086E0,-1.189500093E-1,2.200500071E-1,9.916950226E0,9.920104480E0
1.153553855E0,-1.140000075E-1,2.250000089E-1,9.912000656E0,9.915209429E0
1.158556091E0,-9.300000221E-2,2.440500110E-1,9.927000046E0,9.930435001E0
1.163558553E0,-1.069500074E-1,2.130000144E-1,9.903000832E0,9.905868603E0
1.168561553E0,-1.020000055E-1,2.170500159E-1,9.927000046E0,9.929896506E0
1.173564385E0,-1.170000061E-1,2.410500050E-1,9.955950737E0,9.959555672E0
1.178567385E0,-1.140000075E-1,2.029500157E-1,9.931950569E0,9.934677993E0
1.183570476E0,-1.120500043E-1,2.269500047E-1,9.916950226E0,9.920179600E0
1.188573014E0,-1.360500008E-1,2.220000178E-1,9.928950310E0,9.932363659E0
1.193576110E0,-1.120500043E-1,2.170500159E-1,9.922050476E0,9.925056754E0
1.198578879E0,-1.170000061E-1,2.320500165E-1,9.927000046E0,9.930401106E0
1.203581894E0,-1.219500080E-1,2.220000178E-1,9.928950310E0,9.932180529E0
1.208584125E0,-1.360500008E-1,2.170500159E-1,9.936000824E0,9.939302425E0
1.213586818E0,-1.189500093E-1,2.290500104E-1,9.931950569E0,9.935303474E0
1.218589274E0,-1.260000020E-1,2.149500102E-1,9.939000130E0,9.942122665E0
1.223592043E0,-1.099500060E-1,2.269500047E-1,9.955950737E0,9.959144059E0
1.228594813E0,-1.069500074E-1,2.410500050E-1,9.936000824E0,9.939499775E0
1.233597553E0,-1.099500060E-1,2.100000083E-1,9.907950401E0,9.910785547E0
1.238600091E0,-1.189500093E-1,2.029500157E-1,9.922050476E0,9.924838712E0
1.243602860E0,-1.120500043E-1,2.389500141E-1,9.928950310E0,9.932457227E0
1.248605245E0,-9.795000404E-2,2.170500159E-1,9.904950142E0,9.907812182E0
1.253607491E0,-9.795000404E-2,2.130000144E-1,9.907950401E0,9.910723705E0
1.258609645E0,-9.795000404E-2,2.149500102E-1,9.931950569E0,9.934759173E0
1.263612328E0,-9.795000404E-2,2.340000123E-1,9.916950226E0,9.920194151E0
1.268614790E0,-1.099500060E-1,2.080500126E-1,9.907950401E0,9.910744420E0
1.273617039E0,-9.495000541E-2,2.269500047E-1,9.943950653E0,9.946993335E0
1.278619424E0,-9.105000645E-2,2.509500086E-1,9.936000824E0,9.939586429E0
1.283621886E0,-1.140000075E-1,2.340000123E-1,9.919950485E0,9.923364834E0
1.288624424E0,-1.240500063E-1,1.980000138E-1,9.934050560E0,9.936797922E0
1.293627111E0,-1.189500093E-1,2.149500102E-1,9.934050560E0,9.937087760E0
1.298629650E0,-1.189500093E-1,2.389500141E-1,9.936000824E0,9.939585433E0
1.303632101E0,-9.105000645E-2,2.410500050E-1,9.924000740E0,9.927345360E0
1.308634794E0,-1.170000061E-1,2.200500071E-1,9.939000130E0,9.942124249E0
1.313637260E0,-1.120500043E-1,2.170500159E-1,9.939000130E0,9.942001282E0
1.318639799E0,-1.189500093E-1,2.170500159E-1,9.928950310E0,9.932034740E0
1.323641953E0,-1.120500043E-1,2.149500102E-1,9.922050476E0,9.925011051E0
1.328644347E0,-9.795000404E-2,2.200500071E-1,9.919950485E0,9.922874273E0
1.333646886E0,-1.099500060E-1,2.290500104E-1,9.936000824E0,9.939248728E0
1.338649900E0,-1.050000042E-1,2.320500165E-1,9.919950485E0,9.923219732E0
1.343652361E0,-1.189500093E-1,1.980000138E-1,9.916950226E0,9.919639857E0
1.348654515E0,-1.480500102E-1,2.130000144E-1,9.895950317E0,9.899349499E0
1.353657088E0,-1.260000020E-1,2.220000178E-1,9.946050644E0,9.949325777E0
1.358659549E0,-1.069500074E-1,2.320500165E-1,9.936000824E0,9.939285582E0
1.363661943E0,-1.020000055E-1,2.100000083E-1,9.910050392E0,9.912799947E0
1.368664789E0,-1.120500043E-1,2.080500126E-1,9.927000046E0,9.929812179E0
1.373667866E0,-1.170000061E-1,2.080500126E-1,9.931950569E0,9.934818364E0
1.378670327E0,-1.189500093E-1,2.320500165E-1,9.912000656E0,9.915430062E0
1.383672712E0,-1.189500093E-1,2.220000178E-1,9.936000824E0,9.939192396E0
1.388674866E0,-1.050000042E-1,2.320500165E-1,9.927000046E0,9.930266971E0
1.393677404E0,-9.300000221E-2,2.290500104E-1,9.916950226E0,9.920030982E0
1.398680174E0,-8.595000207E-2,1.930500120E-1,9.931950569E0,9.934198398E0
1.403682886E0,-1.099500060E-1,2.100000083E-1,9.924000740E0,9.926831302E0
1.408685348E0,-1.099500060E-1,2.080500126E-1,9.940950394E0,9.943735140E0
1.413687818E0,-1.140000075E-1,2.269500047E-1,9.936000824E0,9.939246183E0
1.418690280E0,-9.300000221E-2,2.200500071E-1,9.922050476E0,9.924926028E0
1.423693131E0,-1.099500060E-1,2.149500102E-1,9.940950394E0,9.943881900E0
1.428695515E0,-1.290000081E-1,2.389500141E-1,9.943950653E0,9.947657649E0
1.433697987E0,-8.595000207E-2,2.290500104E-1,9.912000656E0,9.915019330E0
1.438700218E0,-9.495000541E-2,2.170500159E-1,9.912000656E0,9.914831477E0
1.443702900E0,-1.260000020E-1,2.200500071E-1,9.928950310E0,9.932187687E0
1.448705439E0,-9.300000221E-2,2.370000184E-1,9.936000824E0,9.939262064E0
1.453708468E0,-1.140000075E-1,2.250000089E-1,9.922050476E0,9.925255999E0
1.458710698E0,-1.290000081E-1,2.290500104E-1,9.928950310E0,9.932429671E0
1.463713391E0,-1.140000075E-1,2.200500071E-1,9.940950394E0,9.944039055E0
1.468715929E0,-9.795000404E-2,2.410500050E-1,9.927000046E0,9.930409318E0
1.473718616E0,-1.140000075E-1,2.490000129E-1,9.898050308E0,9.901838057E0
1.478721078E0,-1.219500080E-1,2.290500104E-1,9.919950485E0,9.923343859E0
1.483723938E0,-1.260000020E-1,2.010000050E-1,9.934050560E0,9.936882687E0
1.488726938E0,-1.099500060E-1,2.149500102E-1,9.910050392E0,9.912991036E0
1.493729789E0,-8.805000782E-2,2.490000129E-1,9.924000740E0,9.927514518E0
1.498732789E0,-1.099500060E-1,2.370000184E-1,9.936000824E0,9.939435114E0
1.503735847E0,-1.290000081E-1,2.220000178E-1,9.916950226E0,9.920273524E0
1.508738693E0,-1.000500023E-1,2.130000144E-1,9.934050560E0,9.936837502E0
1.513741395E0,-1.189500093E-1,1.960500032E-1,9.927000046E0,9.929648263E0
1.518743933E0,-1.050000042E-1,2.170500159E-1,9.886050224E0,9.888990077E0
1.523746318E0,-1.189500093E-1,2.370000184E-1,9.895950317E0,9.899502553E0
1.528748545E0,-1.260000020E-1,2.290500104E-1,9.934050560E0,9.937489645E0
1.533750698E0,-1.189500093E-1,2.440500110E-1,9.919950485E0,9.923665006E0
