"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.012140567E0,-2.165200002E-2,-4.389999900E-3,1.095440015E-1,1.117495838E-1
1.017126346E0,-3.530300036E-2,9.278000332E-3,1.367850006E-1,1.415716056E-1
1.022112192E0,-2.042800002E-2,8.705000393E-3,1.095490009E-1,1.117768483E-1
1.027097808E0,-6.792999804E-3,-5.022000056E-3,1.367889941E-1,1.370496050E-1
1.032083871E0,-2.040899917E-2,8.546999656E-3,1.912699938E-1,1.925455504E-1
1.037069486E0,-2.044199966E-2,-5.076000001E-3,2.048909962E-1,2.059707782E-1
1.042055346E0,6.359999999E-3,-4.838000052E-3,1.776479930E-1,1.778276279E-1
1.047041115E0,-7.249999791E-3,-4.860999994E-3,1.776479930E-1,1.778623097E-1
1.052026962E0,-3.447699919E-2,-4.676999990E-3,1.367879957E-1,1.411435212E-1
1.057012577E0,-7.182000205E-3,-1.814099960E-2,1.367900074E-1,1.381744662E-1
1.061998654E0,5.944000091E-3,-2.971599996E-2,1.640429944E-1,1.668186914E-1
1.066984187E0,5.845000036E-3,-2.944999933E-2,2.049060017E-1,2.070940270E-1
1.071970110E0,-7.776999846E-3,-1.587999985E-2,2.321459949E-1,2.328184251E-1
1.076955904E0,-2.139800042E-2,-1.598899998E-2,2.185239941E-1,2.201505361E-1
1.081941750E0,-7.410000078E-3,-1.515000034E-2,1.912939996E-1,1.920359989E-1
1.086927596E0,1.986799948E-2,-1.506199967E-2,1.640550047E-1,1.659386809E-1
1.091913433E0,3.348600119E-2,-1.502100006E-2,1.231940016E-1,1.285445633E-1
1.096898972E0,-7.468999829E-3,-2.864399925E-2,1.231930032E-1,1.266995687E-1
1.101884822E0,1.829499938E-2,-1.418600045E-2,1.776690036E-1,1.791709364E-1
1.106870668E0,4.509999882E-3,-4.780000017E-4,1.912900060E-1,1.913437613E-1
1.111856514E0,4.412000068E-3,-5.300000194E-4,1.504269987E-1,1.504926197E-1
1.116842151E0,4.354000092E-3,-2.782600001E-2,1.368069947E-1,1.396760444E-1
1.121827997E0,4.060999956E-3,-1.336400025E-2,8.232899755E-2,8.350540139E-2
1.126813843E0,4.116999917E-3,-1.331999991E-2,5.508999899E-2,5.682675492E-2
1.131799602E0,-9.545000270E-3,3.410000063E-4,5.508999899E-2,5.591181718E-2
1.136785448E0,1.763899997E-2,1.396500040E-2,6.870999932E-2,7.229951288E-2
1.141771299E0,1.651399955E-2,2.300000051E-4,8.232100308E-2,8.396137582E-2
1.146756915E0,2.720999997E-3,1.383399963E-2,8.231899887E-2,8.351766856E-2
1.151742761E0,1.633200049E-2,1.373900007E-2,5.507799983E-2,5.906843851E-2
1.156728611E0,-1.077099983E-2,1.499999962E-5,2.783799917E-2,2.984910149E-2
1.161714380E0,-1.005300041E-2,-2.552000061E-2,1.423699968E-2,3.090348537E-2
1.166700213E0,-1.006599981E-2,-1.185099967E-2,2.785700001E-2,3.190271140E-2
1.171686059E0,-2.378400043E-2,-2.552399971E-2,5.509699881E-2,6.521374483E-2
1.176671905E0,3.451999975E-3,-1.185700018E-2,8.233799785E-2,8.325893734E-2
1.181657515E0,1.592000015E-2,-1.110399980E-2,6.871599704E-2,7.140471599E-2
1.186643285E0,1.579999924E-2,2.553999890E-3,5.509499833E-2,5.737265666E-2
1.191629131E0,1.585399918E-2,-1.116099954E-2,4.147399962E-2,4.578220009E-2
1.196614991E0,1.582200080E-2,-1.111800037E-2,4.147399962E-2,4.576066309E-2
1.201600837E0,2.743699960E-2,1.512799971E-2,4.145200178E-2,5.196069451E-2
1.206586452E0,1.356100012E-2,-1.226199977E-2,5.506899953E-2,5.802458162E-2
1.211572299E0,-3.999999990E-6,1.312999986E-3,5.506899953E-2,5.508465026E-2
1.216558145E0,-1.365199964E-2,1.493799966E-2,6.868900359E-2,7.160796144E-2
1.221543909E0,-9.300000238E-5,1.201999956E-3,6.868799776E-2,6.869857705E-2
1.226529755E0,-1.309999934E-4,1.477099955E-2,1.231689975E-1,1.240516083E-1
1.231515601E0,-1.373799983E-2,1.154000056E-3,8.230800182E-2,8.345460753E-2
1.236501237E0,-1.376499981E-2,1.478399988E-2,9.592799842E-2,9.803174360E-2
1.241487083E0,-2.119999990E-4,1.371700037E-2,1.095379964E-1,1.103937212E-1
1.246472919E0,-1.386499964E-2,1.360700000E-2,1.231580004E-1,1.246807192E-1
1.251458688E0,-1.389299985E-2,2.723399922E-2,1.367769986E-1,1.401522512E-1
1.256444534E0,-1.382999960E-2,1.362199988E-2,1.367779970E-1,1.381486454E-1
1.261430150E0,-3.844900057E-2,-5.700000111E-5,1.231760010E-1,1.290374214E-1
1.266416227E0,-1.094700024E-2,1.361100003E-2,1.367979944E-1,1.379086197E-1
1.271401852E0,-1.083699986E-2,1.352799963E-2,1.504189968E-1,1.514144047E-1
1.276387698E0,-1.080800034E-2,-1.389999961E-4,1.640390009E-1,1.643947262E-1
1.281373453E0,-1.025199983E-2,-3.100000031E-4,1.776620001E-1,1.779578205E-1
1.286359299E0,-3.736799955E-2,-3.169999982E-4,1.912840009E-1,1.949000689E-1
1.291344914E0,-2.372400090E-2,-2.559999994E-4,1.776629984E-1,1.792401595E-1
1.296330765E0,-2.379800007E-2,-2.379999933E-4,1.504230052E-1,1.522940641E-1
1.301316612E0,-3.502099961E-2,1.244399976E-2,1.368120015E-1,1.417704034E-1
1.306302453E0,-2.107400075E-2,-1.357999980E-3,1.912949979E-1,1.924570963E-1
1.311288222E0,-2.105000056E-2,-1.491999952E-3,1.776729971E-1,1.789218335E-1
1.316274145E0,-2.103099972E-2,-2.868100069E-2,1.912949979E-1,1.945730685E-1
1.321259693E0,-1.964399964E-2,-1.406599954E-2,1.776929945E-1,1.793280217E-1
1.326245540E0,-3.305099905E-2,-4.640000116E-4,1.504530013E-1,1.540411939E-1
1.331231386E0,-5.882999860E-3,-4.109999863E-4,1.368329972E-1,1.369600224E-1
1.336217227E0,-5.923000164E-3,-1.396299992E-2,1.640740037E-1,1.647735597E-1
1.341202996E0,-5.617999937E-3,-3.950000100E-4,1.776970029E-1,1.777862278E-1
